window,steps,std_multiplier,reset_interval,return_pct,num_trades,final_value,score,halted,symbol
336,3,2.0,720.0,60.43055115108209,58,160430.5511510821,60.43055115108209,False,BNB
168,4,2.0,168.0,47.36315041441598,157,147363.15041441598,47.36315041441598,False,BCH
336,2,2.0,24.0,32.26513417227741,46,132265.1341722774,32.26513417227741,False,PAXG
336,3,2.0,24.0,27.83694407211097,268,127836.94407211097,27.83694407211097,False,LTC
48,3,1.5,168.0,24.17281258078435,338,124172.81258078435,24.17281258078435,False,AAVE
720,3,2.0,24.0,11.423097827589226,178,111423.09782758923,11.423097827589226,False,SOL
48,4,1.0,24.0,6.973500457701958,1737,106973.50045770196,6.973500457701958,False,LINK
720,3,2.0,24.0,1.9995955382139947,188,101999.595538214,1.9995955382139947,False,AVAX
720,6,1.0,24.0,0.9548298998433455,689,100954.82989984335,0.9548298998433455,False,TON
168,6,0.5,720.0,0.28482300603315525,205,100284.82300603316,0.28482300603315525,False,XRP
336,6,0.5,720.0,0.26959885995136573,181,100269.59885995137,0.26959885995136573,False,VIRTUAL
48,6,0.5,24.0,0.24196026550079114,2417,100241.96026550079,0.24196026550079114,False,SYRUP
168,6,2.0,24.0,0.2247606179440918,356,100224.76061794409,0.2247606179440918,False,CRV
168,3,1.0,24.0,0.21883908433283794,1041,100218.83908433284,0.21883908433283794,False,LDO
168,6,0.5,720.0,0.08470471994459512,217,100084.7047199446,0.08470471994459512,False,ADA
168,3,2.0,24.0,0.08167888033039344,347,100081.6788803304,0.08167888033039344,False,ONDO
336,6,2.0,720.0,0.0790790591929399,68,100079.07905919294,0.0790790591929399,False,SNX
336,6,2.0,720.0,0.059501244113780556,49,100059.50124411378,0.059501244113780556,False,RENDER
720,6,1.5,24.0,0.05786634188058088,409,100057.86634188058,0.05786634188058088,False,HBAR
48,2,1.5,24.0,0.03686661395696865,903,100036.86661395697,0.03686661395696865,False,DOGE
720,6,1.0,720.0,0.02968458360932709,79,100029.68458360933,0.02968458360932709,False,WIF
720,6,2.0,720.0,0.024192307819830602,40,100024.19230781983,0.024192307819830602,False,SEI
720,3,2.0,24.0,0.021385515939851756,26,100021.38551593985,0.021385515939851756,False,XPL
48,2,0.5,720.0,0.01821316103314166,64,100018.21316103314,0.01821316103314166,False,EIGEN
168,6,2.0,168.0,0.01680004902451765,183,100016.80004902452,0.01680004902451765,False,XLM
48,6,0.5,24.0,0.010375473318708828,4299,100010.37547331871,0.010375473318708828,False,USDC
168,2,1.5,720.0,0.009695381227022154,68,100009.69538122702,0.009695381227022154,False,ENA
336,6,0.5,24.0,0.008433122375456152,1575,100008.43312237546,0.008433122375456152,False,TRUMP
336,6,2.0,720.0,0.007287845618237043,71,100007.28784561824,0.007287845618237043,False,PYTH
720,6,2.0,720.0,0.006807667717788717,43,100006.80766771779,0.006807667717788717,False,XTZ
720,6,2.0,24.0,0.005402505561083672,227,100005.40250556108,0.005402505561083672,False,SKY
720,6,0.5,24.0,0.00024393331560713707,586,100000.2439333156,0.00024393331560713707,False,XCN
720,4,2.0,24.0,5.367835247307085e-05,103,100000.05367835247,5.367835247307085e-05,False,ARB
336,4,2.0,24.0,6.223310178029351e-06,248,100000.00622331018,6.223310178029351e-06,False,FLOKI
720,3,2.0,24.0,1.674973202170804e-06,140,100000.0016749732,1.674973202170804e-06,False,BONK
336,6,2.0,720.0,5.085035954834894e-07,62,100000.0005085036,5.085035954834894e-07,False,SHIB
48,2,0.5,,0.0,0,100000.0,0.0,False,AERO
48,2,0.5,,0.0,0,100000.0,0.0,False,AVNT
48,2,0.5,,0.0,0,100000.0,0.0,False,DOT
48,2,0.5,,0.0,0,100000.0,0.0,False,BTC
48,2,0.5,,0.0,0,100000.0,0.0,False,ETH
48,2,0.5,,0.0,0,100000.0,0.0,False,ETC
48,2,0.5,,0.0,0,100000.0,0.0,False,OP
48,2,0.5,,0.0,0,100000.0,0.0,False,PNUT
48,2,0.5,,0.0,0,100000.0,0.0,False,SKR
48,2,0.5,,0.0,0,100000.0,0.0,False,W
