symbol,return_pct,bah_pct,alpha_pp,final_value,cash,hold_val,max_dd,n_buys,n_sells,halted,price_open,price_close,price_chg,mode_buying_pct,mode_recovery_pct,mode_market_pct
AERO,33.07,8.84,24.22,13306.69,337.56,12969.13,-13.67,5339,4285,False,2.9e-05,3.1e-05,8.84,0.2,60.7,39.1
RENDER,31.52,47.43,-15.91,13151.79,12951.37,200.42,-13.63,3825,4103,False,1.352406,1.993833,47.43,0.4,67.5,32.1
LINK,21.59,-1.19,22.78,12158.75,2992.65,9166.1,-10.41,4347,3646,False,8.825036,8.719721,-1.19,0.0,70.9,29.1
ONDO,21.18,-1.39,22.57,12118.3,293.02,11825.27,-11.42,4523,3549,False,0.257346,0.253775,-1.39,0.1,78.9,21.0
ETC,21.0,-2.45,23.45,12099.66,1571.51,10528.15,-10.32,4481,3633,False,8.571536,8.361398,-2.45,0.0,73.5,26.5
BONK,19.02,-8.93,27.95,11901.78,179.27,11722.51,-13.27,4336,3346,False,6e-06,6e-06,-8.93,0.0,80.5,19.5
ETH,18.01,4.02,13.99,11800.86,5136.63,6664.22,-13.13,2528,2036,False,2092.30957,2176.360352,4.02,0.1,79.5,20.5
ADA,15.93,-7.96,23.89,11593.04,177.62,11415.42,-13.68,4175,3186,False,0.270099,0.248591,-7.96,0.1,69.0,30.9
DOGE,15.19,-5.47,20.66,11518.88,217.46,11301.42,-12.45,3496,2515,False,0.096643,0.09136,-5.47,0.1,81.9,18.1
PNUT,12.23,-15.59,27.82,11222.98,117.47,11105.5,-18.85,4203,3208,False,0.048715,0.041119,-15.59,0.0,80.3,19.7
XLM,12.22,-3.23,15.44,11221.69,934.97,10286.72,-11.03,3633,2727,False,0.161453,0.156246,-3.23,0.1,64.1,35.8
AVAX,8.04,-1.63,9.67,10803.72,132.89,10670.84,-12.46,3735,2748,False,9.100739,8.952037,-1.63,0.1,75.1,24.8
BTC,7.92,0.46,7.46,10791.95,245.73,10546.22,-10.69,2063,1091,False,70568.59375,70890.320312,0.46,0.0,92.7,7.3
XRP,7.89,-7.06,14.95,10789.04,325.48,10463.56,-13.75,2869,1902,False,1.432678,1.331587,-7.06,0.0,83.2,16.8
SOL,5.88,-5.64,11.52,10588.43,209.48,10378.95,-14.26,3339,2360,False,86.882622,81.984886,-5.64,0.2,77.7,22.1
FLOKI,5.69,-12.1,17.79,10569.16,162.27,10406.89,-15.35,3000,2014,False,3.1e-05,2.7e-05,-12.1,0.0,87.9,12.1
LTC,5.23,-1.35,6.58,10523.07,323.69,10199.38,-9.85,2227,1264,False,54.536636,53.801838,-1.35,0.0,92.8,7.2
SHIB,2.96,-4.05,7.01,10295.9,78.54,10217.36,-17.14,1906,914,False,6e-06,6e-06,-4.05,0.1,86.4,13.5
HBAR,2.83,-3.93,6.76,10282.92,115.3,10167.62,-17.61,3048,2055,False,0.091606,0.088007,-3.93,0.1,80.5,19.4
ENA,1.81,-27.45,29.26,10181.27,87.65,10093.62,-28.44,4115,3122,False,0.119825,0.086934,-27.45,0.0,82.5,17.5
BNB,1.65,-6.31,7.95,10164.66,417.36,9747.29,-10.74,2136,1182,False,640.262085,599.884705,-6.31,0.0,85.3,14.7
ARB,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0,0,False,0.000899,0.000899,0.0,100.0,0.0,0.0
USDC,-0.05,-0.04,-0.01,9995.24,8245.45,1749.79,-0.05,175,0,False,1.000151,0.999769,-0.04,0.0,100.0,0.0
TRUMP,-1.16,-4.85,3.68,9883.82,6952.1,2931.72,-1.16,304,0,False,0.000317,0.000302,-4.85,6.8,93.2,0.0
TON,-2.04,-12.6,10.56,9795.99,138.5,9657.48,-19.15,1240,256,False,0.005272,0.004608,-12.6,0.4,95.6,4.0
PAXG,-3.04,-6.64,3.6,9695.8,186.23,9509.57,-20.15,1603,625,False,5041.893066,4706.959961,-6.64,0.0,93.3,6.7
DOT,-3.34,-6.47,3.13,9665.6,133.83,9531.77,-26.25,3119,2123,False,1.339019,1.25234,-6.47,0.1,84.6,15.3
WIF,-4.04,-15.22,11.18,9596.45,41.47,9554.98,-28.24,1956,960,False,0.227234,0.19265,-15.22,0.0,92.0,8.0
AAVE,-5.06,-19.62,14.57,9494.02,105.25,9388.77,-26.7,3451,2459,False,112.4786,90.404686,-19.62,0.1,79.0,21.0
LDO,-7.49,-11.22,3.73,9251.47,61.21,9190.27,-24.13,1180,189,False,0.352743,0.313168,-11.22,0.0,99.2,0.8
CRV,-8.46,-15.28,6.82,9154.24,81.3,9072.94,-21.89,1984,994,False,0.252169,0.213643,-15.28,0.0,96.7,3.3
EIGEN,-9.38,-22.8,13.42,9061.56,109.71,8951.85,-26.17,2645,1651,False,0.205599,0.15872,-22.8,0.0,91.2,8.8
PYTH,-10.56,-7.39,-3.17,8944.03,55.2,8888.83,-34.04,2026,1020,False,0.045794,0.042408,-7.39,0.1,91.9,8.0
BCH,-10.94,-16.43,5.49,8906.48,113.62,8792.86,-20.0,1846,858,False,526.780396,440.256409,-16.43,0.1,85.0,15.0
XTZ,-12.51,-15.36,2.84,8748.69,91.88,8656.81,-19.23,1094,106,False,0.413398,0.349915,-15.36,0.0,99.4,0.6
SNX,-19.57,-0.29,-19.27,8043.21,73.61,7969.61,-33.16,2696,1686,False,0.289361,0.288513,-0.29,0.2,89.3,10.4
AVNT,-22.22,-31.04,8.83,7778.48,68.98,7709.5,-37.84,2153,1153,False,0.194102,0.133851,-31.04,0.0,90.7,9.3
W,-26.1,-34.41,8.31,7389.97,52.23,7337.73,-35.17,2317,1325,False,0.019622,0.012869,-34.41,0.0,85.0,15.0
OP,-30.02,-40.73,10.71,6998.23,91.45,6222.22,-34.56,1321,333,True,0.190369,0.112838,-40.73,0.0,92.0,8.0
SEI,-30.32,-28.54,-1.78,6968.47,89.47,7427.17,-34.01,1234,246,True,0.076276,0.054507,-28.54,0.0,98.2,1.8
