symbol,sweep,steps,reset,ret,trades,score,halted,rows
SOL,0.3,16,,165.213518951416,16,10.3258449344635,True,1827
BNB,0.1,6,,63.60122398885092,6,10.60020399814182,True,1827
ETH,0.4,2,,37.09614501953125,2,18.548072509765625,True,1827
CC,0.05,12,7.0,12.931705165539926,217,0.05959311136193514,False,648
BCH,0.4,2,,5.951434204101562,3,1.9838114013671875,False,1827
AAVE,0.2,2,,4.7750947265625,4,1.193773681640625,False,1827
LDO,0.1,10,7.0,3.7476807491746005,302,0.012409538904551657,False,1827
PAXG,0.1,2,,3.4877995605468755,2,1.7438997802734377,False,1827
LTC,0.25,2,,3.316035690307617,4,0.8290089225769043,False,1827
WIF,0.4,16,14.0,2.594248943187835,186,0.013947574963375457,False,839
OP,0.05,16,30.0,2.335025128156718,474,0.004926213350541599,False,1484
ONDO,0.05,16,7.0,1.8735843589373253,383,0.004891865166938186,False,809
XRP,0.3,16,,1.4367150835990905,32,0.04489734636247158,False,1827
VIRTUAL,0.25,16,,1.3810301992669702,32,0.04315719372709282,False,781
AVAX,0.5,2,,0.937397804260254,4,0.2343494510650635,False,1827
RENDER,0.3,16,,0.7445182076990605,32,0.02326619399059564,False,1826
DOT,0.15,2,,0.4121750679016113,4,0.10304376697540282,False,1827
ARB,0.5,6,30.0,0.22516059223203047,92,0.002447397741652505,False,1827
XPL,0.1,16,30.0,0.1941601643004833,51,0.0038070620451075158,False,235
XTZ,0.4,2,,0.14498414611816407,4,0.03624603652954102,False,1827
SNX,0.1,2,,0.12418891525268555,4,0.031047228813171387,False,1827
CRV,0.5,2,,0.09955136775970459,4,0.024887841939926148,False,1827
LINK,0.05,2,,0.09718996810913086,4,0.024297492027282715,False,1827
EIGEN,0.3,2,,0.07285456466674804,4,0.01821364116668701,False,551
GRT,0.05,2,7.0,0.04701221845831605,5,0.009402443691663211,False,362
DOGE,0.1,6,60.0,0.038956220252861384,170,0.00022915423678153754,False,1827
ASTER,0.5,2,7.0,0.0321600005030632,4,0.0080400001257658,False,265
ENA,0.5,2,,0.023514000177383424,4,0.005878500044345856,False,734
SYRUP,0.5,2,,0.008011289834976197,4,0.0020028224587440493,False,509
HBAR,0.4,2,,0.007637304067611694,4,0.0019093260169029235,False,1827
HYPE,0.4,2,7.0,0.006733310239069396,15,0.00044888734927129307,False,1241
XLM,0.2,2,,0.00643640398979187,4,0.0016091009974479676,False,1827
SEI,0.4,2,,0.004263311862945557,4,0.0010658279657363892,False,962
AERO,0.4,2,14.0,0.0037328881592693505,9,0.0004147653510299278,False,1459
ADA,0.05,2,,0.0036429001092910768,4,0.0009107250273227692,False,1827
PYTH,0.15,2,7.0,0.0012967809438705444,4,0.0003241952359676361,False,868
XCN,0.05,16,,0.0005646852519130334,32,1.7646414122282294e-05,False,1827
SKY,0.5,2,14.0,0.0005180705232342007,6,8.634508720570011e-05,False,1827
TRUMP,0.4,2,,0.00042432001233100894,4,0.00010608000308275223,False,1588
SUI,0.5,2,,0.00029811001382768154,4,7.452750345692039e-05,False,810
LIT,0.25,2,,0.00014423999469727276,4,3.605999867431819e-05,False,1529
FLOKI,0.2,16,,5.545067992352415e-05,32,1.7328337476101298e-06,False,1725
UNI,0.5,2,,3.071999992243946e-05,4,7.679999980609865e-06,False,1474
ZRO,0.15,2,,1.835999940522015e-05,4,4.589999851305037e-06,False,265
SHIB,0.05,16,,1.3942400983069092e-05,32,4.357000307209091e-07,False,1827
BONK,0.05,16,,1.3095493704895489e-05,32,4.09234178277984e-07,False,1193
COMP,0.5,2,7.0,9.499998122919351e-08,10,9.499998122919352e-09,False,268
WLFI,0.05,16,,7.712515071034431e-13,32,2.4101609596982598e-14,False,322
USDC,0.05,2,,0.0,0,0.0,False,1827
BTC,0.05,2,,0.0,0,0.0,False,1827
AVNT,0.05,2,30.0,0.0,0,0.0,False,209
MOODENG,0.05,2,,0.0,4,0.0,False,152
ETC,0.05,2,7.0,0.0,0,0.0,False,1827
PENGU,0.05,2,,0.0,4,0.0,False,52
POPCAT,0.05,2,,0.0,4,0.0,False,37
SKR,0.4,2,14.0,0.0,0,0.0,False,676
PNUT,0.05,2,,0.0,0,0.0,False,518
PEPE,0.5,2,7.0,-7.465000409865751e-06,5,-1.4930000819731503e-06,False,119
W,0.05,2,14.0,-0.0006051794226659695,5,-0.00012103588453319389,False,762
TON,0.5,2,60.0,-0.2923397446337476,31,-0.009430314343024116,False,1827
MNT,0.5,2,30.0,-0.89594429741161,23,-0.038954099887461305,False,468
ZORA,0.5,2,7.0,-2.166132583618164,4,-0.541533145904541,False,1268
