symbol,interval,train_roi,val_roi,val_halted,n_valid_combos,n_train_candles,n_val_candles,sweep,steps,order_size_pct,counter_multiplier,ma_period,atr_period,atr_multiplier
AERO,2m,-2.4628,0.0,False,3472,19356,4839,0.25,4,0.05,2,,,2.0
FLOKI,2m,8.6524,0.0,False,16800,19343,4836,0.25,8,0.5,2,,,2.0
BONK,2m,16.4623,7.8102,False,16800,19410,4853,0.25,48,0.5,2,,,2.0
PNUT,2m,7.4589,0.0,False,16720,19575,4894,0.15,4,0.5,6,,,2.0
DOGE,2m,14.9847,0.4768,False,16720,19402,4851,0.05,32,0.5,12,,,2.0
PYTH,2m,-0.7906,0.3389,False,15140,19460,4866,0.05,32,0.05,2,100,,2.0
OP,2m,8.3951,0.0,False,16720,19455,4864,0.15,4,0.5,6,,,2.0
AVNT,2m,9.1258,0.4515,False,13176,19523,4881,0.25,12,0.1,16,,,2.0
ONDO,2m,24.1086,7.1023,False,16720,19468,4867,0.15,32,0.5,10,,,2.0
CRV,2m,3.837,0.7744,False,16800,19462,4866,0.25,20,0.1,6,,,2.0
ADA,2m,11.5519,0.0,False,16720,19579,4895,0.2,12,0.5,4,,,2.0
LDO,2m,26.8871,3.7163,False,16720,19464,4866,0.15,4,0.5,4,,,2.0
HBAR,2m,2.2158,0.0,False,16800,19468,4867,0.15,4,0.25,2,,,2.0
DOT,2m,3.1843,0.0,False,16720,19508,4878,0.1,4,0.25,12,,,2.0
ETC,2m,10.9621,0.0,False,16720,19480,4871,0.15,4,0.5,4,,,2.0
AVAX,2m,11.0609,0.0,False,16720,19515,4879,0.25,8,0.5,4,,,2.0
LTC,2m,7.5196,0.0,False,16800,19402,4851,0.1,4,0.5,4,,,2.0
AAVE,2m,3.9931,2.4627,False,16720,19423,4856,0.1,4,0.25,6,,,2.0
ETH,2m,14.1081,2.2488,False,16720,19536,4884,0.1,32,0.5,4,50,,2.0
BCH,2m,10.1305,1.9478,False,16800,19503,4876,0.15,32,0.5,10,,,2.0
BNB,2m,6.1762,2.5415,False,16800,19505,4877,0.1,4,0.5,6,,,2.0
LINK,2m,12.4707,0.0,False,16720,19568,4893,0.15,4,0.5,4,,,2.0
PAXG,2m,1.6744,0.0,False,16800,19440,4861,0.2,4,0.25,2,,,2.0
BTC,2m,10.2007,0.0,False,16720,19348,4837,0.25,8,0.5,4,,,2.0
SKR,2m,-13.8924,0.0,False,560,19527,4882,0.25,4,0.05,2,,,2.0
WIF,2m,0.6106,0.0,False,6080,19401,4851,0.2,4,0.2,2,,,2.0
SEI,2m,-1.0123,0.3901,False,9620,19465,4867,0.05,4,0.05,16,,,2.0
AERO,5m,6.6862,2.0396,False,16800,13596,3400,0.1,32,0.5,2,,,2.0
AVNT,5m,2.1428,1.1723,False,10492,13597,3400,0.05,48,0.1,2,100,,2.0
RENDER,2m,8.9472,0.5263,False,16800,19352,4838,0.05,48,0.5,2,20,,2.0
ADA,5m,6.0783,5.1302,False,16800,13598,3400,0.2,12,0.5,6,,,2.0
AAVE,5m,5.6479,1.6342,False,16800,13597,3400,0.15,32,0.5,8,,,2.0
ARB,5m,0.0,0.0,False,16800,13598,3400,0.05,4,0.05,2,,,2.0
AVAX,5m,11.428,7.6583,False,16800,13597,3400,0.05,12,0.5,8,,,2.0
SHIB,2m,5.4391,0.0948,False,16800,19550,4888,0.15,32,0.1,2,,,2.0
TON,2m,8.949,2.6815,False,16800,19467,4867,0.1,4,0.5,6,,,2.0
W,2m,3.5215,-8.0363,False,16648,19594,4899,0.05,48,0.05,2,100,,2.0
BCH,5m,4.3336,-0.4486,False,16800,13598,3400,0.15,4,0.25,2,,,2.0
SKY,2m,0.0,-0.3231,False,16800,19481,4871,0.15,4,0.05,2,,,2.0
SYRUP,2m,10.9685,0.8646,False,16720,19471,4868,0.15,8,0.2,12,,,2.0
SNX,2m,2.547,2.1248,False,16800,19546,4887,0.1,48,0.1,2,100,,2.0
VIRTUAL,2m,20.3878,3.1902,False,16720,19551,4888,0.25,8,0.5,4,,,2.0
